,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,?,,,,,,,,,,Star-Nosed mole,Pygmy hippo
,,Jugulator,,?,,,,,,,,Star-Nosed mole,,Star-Nosed mole
,,Cynognathus,?,,,,,,,,,,Platypus,Maned rat
,,Thallassocnus,,,?,,,,,,Star-Nosed mole,,,Platypus
,,Thylacoleo,?,,,,,,,,,,Water deer,Water deer
,,Procoptdon,,?,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,?,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,?,,,,Cheetah,,,,Ghost bat
,,Pseudaelurus,?,,,,,,,,,,Desman,Jaguarundi
,,Archaeoindris,,?,,,,,,,,Crabeater seal,,Desman
,,Dimbetrodon,?,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,?,,,,,,Cheetah,,,Edible doormouse
,,Homo floresiensis,?,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,?,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,?,,,,Cheetah,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Cheetah,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,?,Orinoco crocodile,?,,,,,,Cheetah,,,Raccoon,Belo horizonte marmoset,Harar hyena
Praying mantis ,,,,?,,,,,,,,,,Belo horizonte marmoset
,,Goliath tarantula,?,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,?,,,,,,Sewer rat,,,Raccoon
,,Secretary bird,?,,,,,,,,,,Sewer rat,Moscow dog
,,Horseshoe crab,,?,,,,,,,,Sewer rat,,Sewer rat
,,Alligator snapping turtle,?,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,?,,,,Berlin boar,,,,Opossum
,,Eurasian eagle owl,?,,,,,,,,,,Bobcat,Bobcat
,,Bearded lizard,,?,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,?,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,?,,,,,,Berlin boar,,,E. grey squirrel
,,Cookiecutter shark,?,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,?,,,,,,,,Common hedgehog,,Dheli rhesus
,,Green anaconda,?,,,,,,,,,,Common hedgehog,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
