,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Doedicurus,,,,,,,,Pygmy hippo,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Andrewsarchus,,,,,,Pygmy hippo,,,Platypus
,,Thylacoleo,Procoptdon,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Andrewsarchus,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Palaeoloxodon,,,,Pygmy hippo,,,,Ghost bat
,,Pseudaelurus,Archaeoindris,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Dimbetrodon,,,,,,,,Crabeater seal,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Palaeoloxodon,,,,,,Crabeater seal,,,Edible doormouse
,,Homo floresiensis,Palaeoloxodon,,,,,,,,,,Aye-aye,Coatimundi
,,Palaeoloxodon,,Palaeoloxodon,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Amebelodon,,,,Palaeoloxodon,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Palaeoloxodon,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Gold Crest,Orinoco crocodile,Orinoco crocodile,,,,,,Pygmy hippo,,,,Harar hyena,Harar hyena
Praying mantis ,,Gold Crest,,Orinoco crocodile,,,,,,,,Harar hyena,,Belo horizonte marmoset
,,Goliath tarantula,Bothrops asper,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,Orinoco crocodile,,,,,,Harar hyena,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Secretary bird,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Mantis shrimp,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Orinoco crocodile,,,,Berlin boar,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Komodo dragon,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Common octopus,,,,,,Berlin boar,,,E. grey squirrel
,,Cookiecutter shark,Common octopus,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Common octopus,,,,,,,,Porcupine,,Dheli rhesus
,,Green anaconda,Green anaconda,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
