,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Thallassocnus,,,,,,,,Pygmy hippo,,Star-Nosed mole
,,Cynognathus,Thallassocnus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Andrewsarchus,,,,,,Pygmy hippo,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Andrewsarchus,,,,,,,,Solenodon,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Ghost bat,Tasmanian devil
,,Nuralagus rex,,,,Andrewsarchus,,,,Jaguarundi,,,,Ghost bat
,,Pseudaelurus,Archaeoindris,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Archaeoindris,,,,,,,,Jaguarundi,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Amebelodon,,,,,,Jaguarundi,,,Edible doormouse
,,Homo floresiensis,Homo floresiensis,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,Amebelodon,,,,,,,,Coatimundi,,Aye-aye
,,Amebelodon,Amebelodon,,,,Komodo dragon,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Harar hyena,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Praying mantis ,Orinoco crocodile,Orinoco crocodile,,,,,,Harar hyena,,,,Harar hyena,Harar hyena
Praying mantis ,,,,Orinoco crocodile,,,,,,,,Harar hyena,,Belo horizonte marmoset
,,Goliath tarantula,Goliath tarantula,,,,,,,,,,Bristol fox,Bristol fox
,,Bothrops asper,,,Orinoco crocodile,,,,,,Harar hyena,,,Raccoon
,,Secretary bird,Horseshoe crab,,,,,,,,,,Sewer rat,Moscow dog
,,Horseshoe crab,,Alligator snapping turtle,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Komodo dragon,,,,Harar hyena,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Komodo dragon,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Komodo dragon,,,,,,Berlin boar,,,E. grey squirrel
,,Cookiecutter shark,Common octopus,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Green anaconda,,,,,,,,Porcupine,,Dheli rhesus
,,Green anaconda,Green anaconda,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
