,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Doedicurus,,,,,,,,Pygmy hippo,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Platypus,Maned rat
,,Thallassocnus,,,Thylacoleo,,,,,,Tasmanian devil,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Thylacoleo,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Ambelodon,,,,Tasmanian devil,,,,Ghost bat
,,Pseudaelurus,Pseudaelurus,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Aegyptopithecus,,,,,,,,Jaguarundi,,Desman
,,Dimbetrodon,Aegyptopithecus,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Amebelodon,,,,,,Cheetah,,,Edible doormouse
,,Homo floresiensis,Paleoloxodon,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,Amebelodon,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Amebelodon,,,,Amebelodon,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Ambelodon,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Goldcrest,Orinoco crocodile,Orinoco crocodile,,,,,,Harar hyena,,,,Harar hyena,Harar hyena
Praying mantis ,,,,Orinoco crocodile,,,,,,,,Harar hyena,,Belo horizonte marmoset
,,Goliath tarantula,Goliath tarantula,,,,,,,,,,Bristol fox,Bristol fox
,,Bothrops asper,,,Secretary bird,,,,,,Harar hyena,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Secretary bird,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Secretary bird,,,,Harar hyena,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Bobcat,Bobcat
,,Bearded lizard,,Komodo dragon,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Komodo dragon,,,,,,Cape town baboon,,,E. grey squirrel
,,Cookiecutter shark,Cookiecutter shark,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Green anaconda,,,,,,,,Cape town baboon,,Dheli rhesus
,,Green anaconda,Green anaconda,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
