,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Doedicurus,,,,,,,,Pygmy hippo,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Thylacoleo,,,,,,Pygmy hippo,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Thylacoleo,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Thylacoleo,,,,Pygmy hippo,,,,Ghost bat
,,Pseudaelurus,Pseudaelurus,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Dimbetrodon,,,,,,,,Jaguarundi,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Dimbetrodon,,,,,,Jaguarundi,,,Edible doormouse
,,Homo floresiensis,Palaeoloxodon,,,,,,,,,,Aye-aye,Coatimundi
,,Palaeoloxodon,,Amebelodon,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Amebelodon,,,,Thylacoleo,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Bristol fox,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Praying mantis,Orinoco crocodile,Orinoco crocodile,,,,,,Bristol fox,,,,Harar hyena,Harar hyena
Praying mantis ,,Praying Mantis,,Bothrops asper,,,,,,,,Bristol fox,,Belo horizonte marmoset
,,Goliath tarantula,Bothrops asper,,,,,,,,,,Bristol fox,Bristol fox
,,Bothrops asper,,,Bothrops asper,,,,,,Bristol fox,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Alligator snapping turtle,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Komodo Dragon,,,,Bristol fox,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Bobcat,Bobcat
,,Bearded lizard,,Komodo Dragon,,,,,,,,Bobcat,,Striped skunk
,,Komodo dragon,Komodo Dragon,,,,,,,,,,Berlin Boar,Berlin boar
,,Giant salamander,,,Komodo Dragon,,,,,,Bobcat,,,E. grey squirrel
,,Cookiecutter shark,Cookiecutter shark,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Cookiecutter shark,,,,,,,,Cape town baboon,,Dheli rhesus
,,Green anaconda,Green anaconda,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
