,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Star-nosed mole,Pygmy hippo
,,Jugulator,,Doedicurus,,,,,,,,Platypus,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Platypus,Maned rat
,,Thallassocnus,,,Andrewsarchus,,,,,,Tasmanian devil,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Andrewsarchus,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Andrewsarchus,,,,Tasmanian devil,,,,Ghost bat
,,Pseudaelurus,Pseudaelurus,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Dimbetrodon,,,,,,,,Crabeater seal,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Dimbetrodon,,,,,,Cheetah,,,Edible doormouse
,,Homo floresiensis,Homo floresiensis,,,,,,,,,,Aye-aye,Coatimundi
,,Palaeoloxodon,,Homo floresiensis,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Deinogalerix,,,,Komodo dragon,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Komodo dragon,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Praying mantis,Orinoco crocodile,Orinoco crocodile,,,,,,Berlin boar,,,,Harar hyena,Harar hyena
Praying mantis ,,,,Orinoco crocodile,,,,,,,,Harar hyena,,Belo horizonte marmoset
,,Goliath tarantula,Bothrops asper,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,Orinoco crocodile,,,,,,Moscow dog,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Alligator snapping turtle,,,,,,,,Moscow dog,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Komodo dragon,,,,Berlin boar,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Komodo dragon,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Komodo dragon,,,,,,Berlin boar,,,E. grey squirrel
,,Cookiecutter shark,Cookiecutter shark,,,,,,,,,,Dheli rhesus,Porcupine
,,Common octopus,,Tardigrade,,,,,,,,Cape town baboon,,Dheli rhesus
,,Green anaconda,Tardigrade,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
