,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Jugulator,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Cynognathus,,,,,,,,Maned rat,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Cynognathus,,,,,,Water deer,,,Platypus
,,Thylacoleo,Procoptdon,,,,,,,,,,Water deer,Water deer
,,Procoptdon,,Procoptdon,,,,,,,,Water deer,,Solenodon
,,Andrewsarchus,Nuralagus rex,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Cynognathus,,,,Water deer,,,,Ghost bat
,,Pseudaelurus,Pseudaelurus,,,,,,,,,,Desman,Jaguarundi
,,Archaeoindris,,Pseudaelurus,,,,,,,,Desman,,Desman
,,Dimbetrodon,Archaeoindris,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Palaeoloxodon,,,,,,Desman,,,Edible doormouse
,,Homo floresiensis,Palaeoloxodon,,,,,,,,,,Aye-aye,Coatimundi
,,Palaeoloxodon,,Palaeoloxodon,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Amebelodon,,,,Tardigrade,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Common hedgehog,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Goldcrest,Orinoco crocodile,Orinoco crocodile,,,,,,Common hedgehog,,,,Belo horizonte marmoset,Harar hyena
Praying mantis ,,,,Orinoco crocodile,,,,,,,,Belo horizonte marmoset,,Belo horizonte marmoset
,,Goliath tarantula,Goliath tarantula,,,,,,,,,,Bristol fox,Bristol fox
,,Bothrops asper,,,Secretary bird,,,,,,Belo horizonte marmoset,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Sewer rat,Moscow dog
,,Horseshoe crab,,Secretary bird,,,,,,,,Sewer rat,,Sewer rat
,,Alligator snapping turtle,Mantis shrimp,,,,,,,,,,Opossum,Coyote
,,Mantis shrimp,,,,Tardigrade,,,,Common hedgehog,,,,Opossum
,,Eurasian eagle owl,Bearded lizard,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Giant salamander,,,,,,,,Berlin Boar,,Striped skunk
,,Komodo dragon,Giant salamander,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Tardigrade,,,,,,Common hedgehog,,,E. grey squirrel
,,Cookiecutter shark,Cookiecutter shark,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Tardigrade,,,,,,,,Common hedgehog,,Dheli rhesus
,,Green anaconda,Tardigrade,,,,,,,,,,Common hedgehog,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
