,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Doedicurus,,,,,,,,Maned rat,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Andrewsarchus,,,,,,Tasmanian devil,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Andrewsarchus,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Homo floresiensis,,,,Cheetah,,,,Ghost bat
,,Pseudaelurus,Pseudaelurus,,,,,,,,,,Desman,Jaguarundi
,,Archaeoindris,,Aegyptopithecus,,,,,,,,Crabeater seal,,Desman
,,Dimbetrodon,Aegyptopithecus,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Homo floresiensis,,,,,,Cheetah,,,Edible doormouse
,,Homo floresiensis,Homo floresiensis,,,,,,,,,,Aye-aye,Coatimundi
,,Palaeoloxodon,,Homo floresiensis,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Amebelodon,,,,Alligator snapping turtle,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Alligator snapping turtle,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Praying mantis ,Orinoco crocodile,Orinoco crocodile,,,,,,Coyote,,,,Harar hyena,Harar hyena
Praying mantis ,,,,Bothrops asper,,,,,,,,Raccoon,,Belo horizonte marmoset
,,Goliath tarantula,Bothrops asper,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,Alligator snapping turtle,,,,,,Coyote,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Sewer rat,Moscow dog
,,Horseshoe crab,,Alligator snapping turtle,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Alligator snapping turtle,,,,Coyote,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Bobcat,Bobcat
,,Bearded lizard,,Eurasian eagle owl,,,,,,,,Bobcat,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Common octopus,,,,,,Cape town baboon,,,E. grey squirrel
,,Cookiecutter shark,Common octopus,,,,,,,,,,Dheli rhesus,Porcupine
,,Common octopus,,Common octopus,,,,,,,,Cape town baboon,,Dheli rhesus
,,Green anaconda,Tardigrade,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
