,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Jugulator,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Jugulator,,,,,,,,Platypus,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Platypus,Maned rat
,,Thallassocnus,,,Jugulator,,,,,,Platypus,,,Platypus
,,Thylacoleo,Procoptdon,,,,,,,,,,Water deer,Water deer
,,Procoptdon,,Procoptdon,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Jugulator,,,,Coatimundi,,,,Ghost bat
,,Pseudaelurus,Archaeoindris,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Dimbetrodon,,,,,,,,Jaguarundi,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Dimbetrodon,,,,,,Coatimundi,,,Edible doormouse
,,Homo floresiensis,Homo floresiensis,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,Amebelodon,,,,,,,,Coatimundi,,Aye-aye
,,Amebelodon,Amebelodon,,,,Jugulator,,,,,,Fat-tailed dunnart,Cheetah
,,Deinogalerix,,,,,,Coatimundi,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,,Orinoco crocodile,Orinoco crocodile,,,,,,Coatimundi,,,,Belo horizonte marmoset,Harar hyena
Praying mantis ,,,,Orinoco crocodile,,,,,,,,Raccoon,,Belo horizonte marmoset
,,Goliath tarantula,Goliath tarantula,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,Mantis shrimp,,,,,,Raccoon,,,Raccoon
,,Secretary bird,Horseshoe crab,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Mantis shrimp,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Mantis shrimp,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Tardigrade,,,,Raccoon,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Eurasian eagle owl,,,,,,,,Striped skunk,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Tardigrade,,,,,,Striped skunk,,,E. grey squirrel
,,Cookiecutter shark,Common octopus,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Tardigrade,,,,,,,,Porcupine,,Dheli rhesus
,,Green anaconda,Tardigrade,,,,,,,,,,Common hedgehog,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
