,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Star-Nosed mole,Pygmy hippo
,,Jugulator,,Doedicurus,,,,,,,,Platypus,,Star-Nosed mole
,,Cynognathus,Thallassocnus,,,,,,,,,,Platypus,Maned rat
,,Thallassocnus,,,Doedicurus,,,,,,Ghost bat,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Water deer,Water deer
,,Procoptdon,,Thylacoleo,,,,,,,,Ghost bat,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Ghost bat,Tasmanian devil
,,Nuralagus rex,,,,Doedicurus,,,,Fat-tailed dunnart,,,,Ghost bat
,,Pseudaelurus,Archaeoindris,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Archaeoindris,,,,,,,,Crabeater seal,,Desman
,,Dimbetrodon,Aegyptopithecus,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Homo floresiensis,,,,,,Fat-tailed dunnart,,,Edible doormouse
,,Homo floresiensis,Homo floresiensis,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,Homo floresiensis,,,,,,,,Fat-tailed dunnart,,Aye-aye
,,Amebelodon,Amebelodon,,,,Doedicurus,,,,,,Fat-tailed dunnart,Cheetah
,,Deinogalerix,,,,,,E. grey squirrel,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Goldcrest,Orinoco crocodile,Goldcrest,,,,,,E. grey squirrel,,,,Belo horizonte marmoset,Harar hyena
Praying mantis ,,Goldcrest,,Goliath tarantula,,,,,,,,Raccoon,,Belo horizonte marmoset
,,Goliath tarantula,Goliath tarantula,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,Secretary bird,,,,,,Sewer rat,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Sewer rat,Moscow dog
,,Horseshoe crab,,Secretary bird,,,,,,,,Sewer rat,,Sewer rat
,,Alligator snapping turtle,Mantis shrimp,,,,,,,,,,Opossum,Coyote
,,Mantis shrimp,,,,Komodo dragon,,,,E. grey squirrel,,,,Opossum
,,Eurasian eagle owl,Bearded lizard,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Komodo dragon,,,,,,,,E. grey squirrel,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,E. grey squirrel,Berlin boar
,,Giant salamander,,,Komodo dragon,,,,,,E. grey squirrel,,,E. grey squirrel
,,Cookiecutter shark,Cookiecutter shark,,,,,,,,,,Dheli rhesus,Porcupine
,,Common octopus,,Green anaconda,,,,,,,,Dheli rhesus,,Dheli rhesus
,,Green anaconda,Green anaconda,,,,,,,,,,Common hedgehog,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
