jump jump,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,,,Wildcard ,
1,Bengal Tiger,Bengal Tiger,,,,,,,,,,Zebra & Oxpecker,Zebra & Oxpecker,1,,
16,Ringtail Cat,,Bengal Tiger,,,,,,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,,Batfly & Gammaproteobacteri,16,,
8,Springhare,Jackrabbit,,,,,,,,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,Aardvark & Aardvark Cucumber,8,,
9,Jackrabbit,,,Serval,,,,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,9,,
5,Serval,Serval,,,,,,,,,,Crab & Sea Turtle,Crab & Sea Turtle,5,,
12,Rock Wallaby,,Serval,,,,,,,,Wrasse & Moray Eel,,Clown Fish & Sea Anenome,12,,
4,Bharal,Stoat,,,,,,,,,,Wrasse & Moray Eel,Wrasse & Moray Eel,4,,
13,Stoat,,,,Serval,,,,Banded Mongoose & Warthog,,,,Fire Coral & Algae,13,,
6,Impala,Klipspringer,,,,,,,,,,Diana Monkey & Red Colobus,Diana Monkey & Red Colobus,6,,
11,Klipspringer,,Klipspringer,,,,,,,,Banded Mongoose & Warthog,,Bornean bat & Pitcher Plant,11,,
3,Spinner Dolphin,Spinner Dolphin,,,,,,,,,,Banded Mongoose & Warthog,Banded Mongoose & Warthog,3,,
14,Spinifex hopping mouse,,,Klipspringer,,,,,,Banded Mongoose & Warthog,,,Burying beetles & phoretic mites,14,,
7,Sifaka,Sifaka,,,,,,,,,,Fork-tailed drongos & sociable weaver,Wattled Jacana & Capybara,7,,
10,9-Banded Armadillo,,Markhor,,,,,,,,Fork-tailed drongos & sociable weaver,,Fork-tailed drongos & sociable weaver,10,,
2,Markhor,Markhor,,,,Serval,,Banded Mongoose & Warthog,,,,Ants & Aphids,Coyote & Badger,2,,
15,Streaked tenrec,,,,,,,,,,,,Ants & Aphids,15,,
waterfallls,,,,,,,,,,,,,,,,
1,Moose,Moose,,,,,Banded Mongoose & Warthog,,,,,Sea Lion,Sea Lion,1,,Antlion
16,Bulldog Bat,,Moose,,,,,,,,Sea Lion,,Antlion,16,Antlion,Tiger Beetle 
8,Flat-Headed Cat,Water Chevrotain,,,,,,,,,,Small Spotted Cat Shark,Small Spotted Cat Shark,8,,
9,Water Chevrotain,,,Moose,,,,,,Tiger Owl,,,Stonecat,9,,
5,Beaver,Beaver,,,,,,,,,,Tiger Owl,Tiger Owl,5,,
12,Mink,,White-lipped peccary,,,,,,,,Tiger Owl,,Panther Cameleon,12,,
4,White-lipped peccary,White-lipped peccary,,,,,,,,,,Fisher Cat,Fisher Cat,4,,
13,Rakali,,,,Crab-Eating Fox,,,,Nimravid,,,,Tiger Salamandar,13,,
6,Crab-Eating Fox,Crab-Eating Fox,,,,,,,,,,Cat Snake,Lion-Tailed Macaque,6,,
11,Moonrat,,Crab-Eating Fox,,,,,,,,Bearcat,,Cat Snake,11,,
3,Lowland tapir,Lowland tapir,,,,,,,,,,Bearcat,Bearcat,3,,
14,Water Opposum,,,Crab-Eating Fox,,,,,,Nimravid,,,Leopard Frog,14,,
7,Marine Otter,Aquatic Genet,,,,,,,,,,Tiger Quoll,Tiger Quoll,7,,
10,Aquatic Genet,,Aquatic Genet,,,,,,,,Nimravid,,Green Catbird,10,,
2,Manatee,Manatee,,,,,,,,,,Nimravid,Nimravid,2,,
15,Ring-tailed Vontsira,,,,,,,,,,,,Dandelion,15,,
