jump jump,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,,,Wildcard ,
1,Bengal Tiger,Bengal Tiger,,,,,,,,,,Zebra & Oxpecker,Zebra & Oxpecker,1,,
16,Ringtail Cat,,Bengal Tiger,,,,,,,,Zebra & Oxpecker,,Batfly & Gammaproteobacteri,16,,
8,Springhare,Springhare,,,,,,,,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,Aardvark & Aardvark Cucumber,8,,
9,Jackrabbit,,,Stoat,,,,,,Wrasse & Moray Eel,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,9,,
5,Serval,Rock Wallaby,,,,,,,,,,Clown Fish & Sea Anenome,Crab & Sea Turtle,5,,
12,Rock Wallaby,,Stoat,,,,,,,,Wrasse & Moray Eel,,Clown Fish & Sea Anenome,12,,
4,Bharal,Stoat,,,,,,,,,,Wrasse & Moray Eel,Wrasse & Moray Eel,4,,
13,Stoat,,,,Stoat,,,,Burying beetles & phoretic mites,,,,Fire Coral & Algae,13,,
6,Impala,Impala,,,,,,,,,,Diana Monkey & Red Colobus,Diana Monkey & Red Colobus,6,,
11,Klipspringer,,Spinner Dolphin,,,,,,,,Burying beetles & phoretic mites,,Bornean bat & Pitcher Plant,11,,
3,Spinner Dolphin,Spinner Dolphin,,,,,,,,,,Burying beetles & phoretic mites,Banded Mongoose & Warthog,3,,
14,Spinifex hopping mouse,,,Spinner Dolphin,,,,,,Burying beetles & phoretic mites,,,Burying beetles & phoretic mites,14,,
7,Sifaka,9-Banded Armadillo,,,,,,,,,,Fork-tailed drongos & sociable weaver,Wattled Jacana & Capybara,7,,
10,9-Banded Armadillo,,Markhor,,,,,,,,Fork-tailed drongos & sociable weaver,,Fork-tailed drongos & sociable weaver,10,,
2,Markhor,Markhor,,,,Marine Otter,,Burying beetles & phoretic mites,,,,Coyote & Badger,Coyote & Badger,2,,
15,Streaked tenrec,,,,,,,,,,,,Ants & Aphids,15,,
waterfallls,,,,,,,,,,,,,,,,
1,Moose,Moose,,,,,Burying beetles & phoretic mites,,,,,Sea Lion,Sea Lion,1,,Antlion
16,Bulldog Bat,,Water Chevrotain,,,,,,,,Sea Lion,,Antlion,16,Antlion,Tiger Beetle 
8,Flat-Headed Cat,Water Chevrotain,,,,,,,,,,Small Spotted Cat Shark,Small Spotted Cat Shark,8,,
9,Water Chevrotain,,,Mink,,,,,,Sea Lion,,,Stonecat,9,,
5,Beaver,Mink,,,,,,,,,,Tiger Owl,Tiger Owl,5,,
12,Mink,,Mink,,,,,,,,Tiger Owl,,Panther Cameleon,12,,
4,White-lipped peccary,White-lipped peccary,,,,,,,,,,Tiger Salamandar,Fisher Cat,4,,
13,Rakali,,,,Marine Otter,,,,Leopard Frog,,,,Tiger Salamandar,13,,
6,Crab-Eating Fox,Crab-Eating Fox,,,,,,,,,,Cat Snake,Lion-Tailed Macaque,6,,
11,Moonrat,,Lowland tapir,,,,,,,,Leopard Frog,,Cat Snake,11,,
3,Lowland tapir,Lowland tapir,,,,,,,,,,Leopard Frog,Bearcat,3,,
14,Water Opposum,,,Marine Otter,,,,,,Leopard Frog,,,Leopard Frog,14,,
7,Marine Otter,Marine Otter,,,,,,,,,,Green Catbird,Tiger Quoll,7,,
10,Aquatic Genet,,Marine Otter,,,,,,,,Green Catbird,,Green Catbird,10,,
2,Manatee,Manatee,,,,,,,,,,Dandelion,Nimravid,2,,
15,Ring-tailed Vontsira,,,,,,,,,,,,Dandelion,15,,
