jump jump,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,,,Wildcard ,
1,Bengal Tiger,Bengal Tiger,,,,,,,,,,Batfly & Gammaproteobacteri,Zebra & Oxpecker,1,,
16,Ringtail Cat,,Bengal Tiger,,,,,,,,Aardvark & Aardvark Cucumber,,Batfly & Gammaproteobacteri,16,,
8,Springhare,Jackrabbit,,,,,,,,,,Aardvark & Aardvark Cucumber,Aardvark & Aardvark Cucumber,8,,
9,Jackrabbit,,,Bengal Tiger,,,,,,Wrasse & Moray Eel,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,9,,
5,Serval,Serval,,,,,,,,,,Clown Fish & Sea Anenome,Crab & Sea Turtle,5,,
12,Rock Wallaby,,Bharal,,,,,,,,Wrasse & Moray Eel,,Clown Fish & Sea Anenome,12,,
4,Bharal,Bharal,,,,,,,,,,Wrasse & Moray Eel,Wrasse & Moray Eel,4,,
13,Stoat,,,,Spinifex hopping mouse,,,,Bornean bat & Pitcher Plant,,,,Fire Coral & Algae,13,,
6,Impala,Impala,,,,,,,,,,Bornean bat & Pitcher Plant,Diana Monkey & Red Colobus,6,,
11,Klipspringer,,Spinifex hopping mouse,,,,,,,,Bornean bat & Pitcher Plant,,Bornean bat & Pitcher Plant,11,,
3,Spinner Dolphin,Spinifex hopping mouse,,,,,,,,,,Burying beetles & phoretic mites,Banded Mongoose & Warthog,3,,
14,Spinifex hopping mouse,,,Spinifex hopping mouse,,,,,,Bornean bat & Pitcher Plant,,,Burying beetles & phoretic mites,14,,
7,Sifaka,,,,,,,,,,,Wattled Jacana & Capybara,Wattled Jacana & Capybara,7,,
10,9-Banded Armadillo,Sifaka,,,,,,,,,Wattled Jacana & Capybara,,Fork-tailed drongos & sociable weaver,10,,
2,Markhor,,Markhor,,,Flat-Headed Cat,,Bornean bat & Pitcher Plant,,,,Ants & Aphids,Coyote & Badger,2,,
15,Streaked tenrec,Markhor,,,,,,,,,,,Ants & Aphids,15,,
waterfallls,,,,,,,,,,,,,,,,
1,Moose,Bulldog Bat,,,,,Flat-Headed Cat,,,,,Sea Lion,Sea Lion,1,,Antlion
16,Bulldog Bat,,Flat-Headed Cat,,,,,,,,Sea Lion,,Antlion,16,Antlion,Tiger Beetle 
8,Flat-Headed Cat,Flat-Headed Cat,,,,,,,,,,Small Spotted Cat Shark,Small Spotted Cat Shark,8,,
9,Water Chevrotain,,,Flat-Headed Cat,,,,,,Sea Lion,,,Stonecat,9,,
5,Beaver,Mink,,,,,,,,,,Tiger Owl,Tiger Owl,5,,
12,Mink,,White-lipped peccary,,,,,,,,Tiger Owl,,Panther Cameleon,12,,
4,White-lipped peccary,White-lipped peccary,,,,,,,,,,Fisher Cat,Fisher Cat,4,,
13,Rakali,,,,Flat-Headed Cat,,,,Sea Lion,,,,Tiger Salamandar,13,,
6,Crab-Eating Fox,Crab-Eating Fox,,,,,,,,,,Lion-Tailed Macaque,Lion-Tailed Macaque,6,,
11,Moonrat,,Lowland tapir,,,,,,,,Bearcat,,Cat Snake,11,,
3,Lowland tapir,Lowland tapir,,,,,,,,,,Bearcat,Bearcat,3,,
14,Water Opposum,,,Lowland tapir,,,,,,Bearcat,,,Leopard Frog,14,,
7,Marine Otter,Aquatic Genet,,,,,,,,,,Tiger Quoll,Tiger Quoll,7,,
10,Aquatic Genet,,Ring-tailed Vontsira,,,,,,,,Tiger Quoll,,Green Catbird,10,,
2,Manatee,Ring-tailed Vontsira,,,,,,,,,,Nimravid,Nimravid,2,,
15,Ring-tailed Vontsira,,,,,,,,,,,,Dandelion,15,,
