jump jump,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,,,Wildcard ,
1,Bengal Tiger,Bengal Tiger,,,,,,,,,,Zebra & Oxpecker,Zebra & Oxpecker,1,,
16,Ringtail Cat,,Bengal Tiger,,,,,,,,Zebra & Oxpecker,,Batfly & Gammaproteobacteri,16,,
8,Springhare,,,,,,,,,,,,Aardvark & Aardvark Cucumber,8,,
9,Jackrabbit,,,Bengal Tiger,,,,,,Zebra & Oxpecker,,,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,9,,
5,Serval,,,,,,,,,,,,Crab & Sea Turtle,5,,
12,Rock Wallaby,,,,,,,,,,,,Clown Fish & Sea Anenome,12,,
4,Bharal,,,,,,,,,,,,Wrasse & Moray Eel,4,,
13,Stoat,,,,Bengal Tiger,,,,Zebra & Oxpecker,,,,Fire Coral & Algae,13,,
6,Impala,,,,,,,,,,,,Diana Monkey & Red Colobus,6,,
11,Klipspringer,,,,,,,,,,,,Bornean bat & Pitcher Plant,11,,
3,Spinner Dolphin,,,,,,,,,,,,Banded Mongoose & Warthog,3,,
14,Spinifex hopping mouse,,,,,,,,,,,,Burying beetles & phoretic mites,14,,
7,Sifaka,,,,,,,,,,,,Wattled Jacana & Capybara,7,,
10,9-Banded Armadillo,,,,,,,,,,,,Fork-tailed drongos & sociable weaver,10,,
2,Markhor,,,,,Bengal Tiger,,Zebra & Oxpecker,,,,,Coyote & Badger,2,,
15,Streaked tenrec,,,,,,,,,,,,Ants & Aphids,15,,
waterfallls,,,,,,,,,,,,,,,,
1,Moose,,,,,,Bengal Tiger,,,,,,Sea Lion,1,,Antlion
16,Bulldog Bat,,,,,,,,,,,,0,16,,Tiger Beetle 
8,Flat-Headed Cat,,,,,,,,,,,,Small Spotted Cat Shark,8,,
9,Water Chevrotain,,,,,,,,,,,,Stonecat,9,,
5,Beaver,,,,,,,,,,,,Tiger Owl,5,,
12,Mink,,,,,,,,,,,,Panther Cameleon,12,,
4,White-lipped peccary,,,,,,,,,,,,Fisher Cat,4,,
13,Rakali,,,,,,,,,,,,Tiger Salamandar,13,,
6,Crab-Eating Fox,,,,,,,,,,,,Lion-Tailed Macaque,6,,
11,Moonrat,,,,,,,,,,,,Cat Snake,11,,
3,Lowland tapir,,,,,,,,,,,,Bearcat,3,,
14,Water Opposum,,,,,,,,,,,,Leopard Frog,14,,
7,Marine Otter,,,,,,,,,,,,Tiger Quoll,7,,
10,Aquatic Genet,,,,,,,,,,,,Green Catbird,10,,
2,Manatee,,,,,,,,,,,,Nimravid,2,,
15,Ring-tailed Vontsira,,,,,,,,,,,,Dandelion,15,,
