Chess_Ridley
Bumblebee bat
Okapi
Giant-Striped Mongoose
Side-Striped Jackal
Striped Dolphin
Wildcat
Striped Hyena
Numbat
Kudu
Sea Otter
Grasshopper Mouse
Sibree Dwarf Lemur
Siberian Chipmunk
Silky Anteater
Dik-dik
Thor's Hero Shrew
Rock Hyrax
Golden Eagle
Puffer Fish
Trapdoor Spider
Lungfish
Rufous Hornero
Homo habilis
New Caledonian Crow
Dung Beetle
Emperor Penguin
Owl Monkey
Pacific Spiny Lumpsucker
Darwin's Frog
Bat-Eared Fox
Wolverine
Greater Flamingo
Greater Rhea
Giant-Striped Mongoose
Side-Striped Jackal
Striped Hyena
Kudu
Sea Otter
Sibree Dwarf Lemur
Dik-dik
Thor's Hero Shrew
Golden Eagle
Lungfish
Homo habilis
Dung Beetle
Emperor Penguin
Darwin's Frog
Wolverine
Greater Rhea
Giant-Striped Mongoose
Striped Hyena
Sea Otter
Dik-dik
Golden Eagle
Dung Beetle
Emperor Penguin
Wolverine
Striped Hyena
Dik-dik
Dung Beetle
Wolverine
Dik-dik
Dung Beetle
Dik-dik
