Highest_Seed
Shrew Mole
Okapi
Striped Polecat
Side-Striped Jackal
Striped Dolphin
Wildcat
Striped Hyena
Striped Rabbit
Kudu
Sea Otter
Southern Ningaui
Sibree Dwarf Lemur
Mara
Itjaritjari
Dik-dik
Bulldog Bat
Rock Hyrax
Golden Eagle
Veined Octopus
Palaeocastor
Lungfish
Goanna
Homo habilis
Montezuma Oropendola
Cathedral Termite
Emperor Penguin
Owl Monkey
Pacific Spiny Lumpsucker
Siamang
Bat-Eared Fox
Wolverine
Greater Flamingo
Greater Rhea
Okapi
Striped Dolphin
Striped Hyena
Kudu
Sea Otter
Mara
Dik-dik
Rock Hyrax
Golden Eagle
Lungfish
Homo habilis
Cathedral Termite
Emperor Penguin
Siamang
Wolverine
Greater Rhea
Okapi
Kudu
Sea Otter
Rock Hyrax
Golden Eagle
Cathedral Termite
Emperor Penguin
Greater Rhea
Okapi
Sea Otter
Golden Eagle
Emperor Penguin
Sea Otter
Golden Eagle
Golden Eagle
